288	342.85	342.85
289	343.92	343.92
290	344.67	344.67
291	343.78	343.78
292	342.23	342.23
293	340.11	340.11
294	338.32	338.32
295	338.39	338.39
296	339.48	339.48
297	340.88	340.88
298	341.64	341.64
299	342.87	342.87
300	343.59	343.59
301	345.25	345.25
302	345.96	345.96
303	345.52	345.52
304	344.15	344.15
305	342.25	342.25
306	340.17	340.17
307	340.3	340.3
308	341.53	341.53
309	343.07	343.07
310	344.05	344.05
311	344.77	344.77
312	345.46	345.46
314	347.55	347.55
315	346.98	346.98
316	345.55	345.55
317	343.2	343.2
318	341.35	341.35
319	341.68	341.68
320	343.06	343.06
321	344.54	344.54
322	345.25	345.25
323	346.06	346.06
324	347.66	347.66
325	348.2	348.2
326	348.92	348.92
327	348.4	348.4
328	346.66	346.66
329	344.85	344.85
330	343.2	343.2
331	343.08	343.08
332	344.4	344.4
333	345.82	345.82
334	346.54	346.54
335	347.13	347.13
336	348.05	348.05
337	349.77	349.77
338	350.53	350.53
339	349.9	349.9
340	348.11	348.11
341	346.09	346.09
342	345.01	345.01
343	344.47	344.47
344	345.86	345.86
345	347.15	347.15
346	348.38	348.38
347	348.7	348.7
348	349.72	349.72
349	351.32	351.32
350	352.14	352.14
351	351.61	351.61
352	349.91	349.91
353	347.84	347.84
354	346.52	346.52
355	346.65	346.65
356	347.96	347.96
357	349.18	349.18
358	350.38	350.38
359	351.68	351.68
360	352.24	352.24
361	353.66	353.66
362	354.18	354.18
363	353.68	353.68
364	352.58	352.58
365	350.65	350.65
366	349.03	349.03
367	349.08	349.08
368	350.15	350.15
369	351.44	351.44
370	352.89	352.89
371	353.24	353.24
372	353.8	353.8
373	355.59	355.59
374	355.89	355.89
375	355.3	355.3
376	353.98	353.98
377	351.53	351.53
378	350.02	350.02
379	350.29	350.29
380	351.44	351.44
381	352.84	352.84
382	353.79	353.79
383	354.88	354.88
384	355.65	355.65
385	356.27	356.27
386	357.29	357.29
387	356.32	356.32
388	354.88	354.88
389	352.89	352.89
390	351.28	351.28
391	351.59	351.59
392	353.05	353.05
393	354.27	354.27
394	354.87	354.87
395	355.68	355.68
396	357.06	357.06
397	358.51	358.51
398	359.09	359.09
399	358.1	358.1
400	356.12	356.12
401	353.89	353.89
402	352.3	352.3
403	352.32	352.32
404	353.79	353.79
405	355.07	355.07
406	356.17	356.17
407	356.93	356.93
408	357.82	357.82
409	359	359
410	359.55	359.55
411	359.32	359.32
412	356.85	356.85
413	354.91	354.91
414	352.93	352.93
415	353.31	353.31
416	354.27	354.27
417	355.53	355.53
418	356.86	356.86
419	357.27	357.27
420	358.36	358.36
421	359.27	359.27
422	360.19	360.19
423	359.52	359.52
424	357.42	357.42
425	355.46	355.46
426	354.1	354.1
427	354.12	354.12
428	355.4	355.4
429	356.84	356.84
430	358.22	358.22
431	358.98	358.98
