194	333.19	52.9148	333.19
195	332.12	47.8999	332.12
196	330.99	48.0437	330.99
197	329.17	51.5969	329.17
198	327.41	54.1977	327.41
199	327.21	48.8926	327.21
200	328.34	51.498	328.34
201	329.5	52.0211	329.5
202	330.68	52.1847	330.68
203	331.41	49.6222	331.41
204	331.85	51.7913	331.85
205	333.29	51.3559	333.29
206	333.91	47.9607	333.91
207	333.4	49.3344	333.4
208	331.74	49.6364	331.74
209	329.88	48.3727	329.88
210	328.57	51.8507	328.57
211	328.36	41.7295	328.36
212	329.33	52.9928	329.33
213	330.59	50.9248	330.59
214	331.66	55.7187	331.66
215	332.75	43.8864	332.75
216	333.46	48.9288	333.46
217	334.78	50.002	334.78
218	334.78	42.9068	334.78
219	334.06	44.1337	334.06
220	332.95	44.5612	332.95
221	330.64	64.9461	330.64
222	328.96	53.8524	328.96
223	328.77	43.6211	328.77
224	330.18	52.626	330.18
225	331.65	50.3079	331.65
226	332.69	37.9318	332.69
227	333.23	45.1865	333.23
228	334.97	50.4916	334.97
229	336.03	49.2311	336.03
230	336.82	52.8356	336.82
231	336.1	41.5086	336.1
232	334.79	51.9653	334.79
233	332.53	45.6476	332.53
234	331.19	43.6354	331.19
235	331.21	40.0821	331.21
236	332.35	45.9031	332.35
237	333.47	51.2968	333.47
238	335.1	46.0593	335.1
239	335.26	45.5388	335.26
240	336.61	44.0825	336.61
241	337.77	47.1246	337.77
242	338	48.6122	338
243	337.98	40.8875	337.98
244	336.48	45.2602	336.48
245	334.37	51.5021	334.37
246	332.33	48.5696	332.33
247	332.41	40.1978	332.41
248	333.76	47.6066	333.76
249	334.83	47.3408	334.83
250	336.21	44.9141	336.21
251	336.65	44.6321	336.65
252	338.13	46.8862	338.13
253	338.94	47.9946	338.94
254	339	45.9096	339
255	339.2	48.0166	339.2
256	337.6	42.3553	337.6
257	335.56	43.6243	335.56
258	333.93	43.5931	333.93
259	334.12	42.1764	334.12
260	335.26	45.0399	335.26
261	336.78	43.3608	336.78
262	337.8	40.7758	337.8
263	338.28	42.6848	338.28
264	340.04	40.1587	340.04
265	340.86	39.955	340.86
266	341.47	41.6462	341.47
267	341.26	48.7213	341.26
268	339.34	40.8718	339.34
269	337.45	49.3778	337.45
270	336.1	47.9817	336.1
271	336.05	44.0088	336.05
272	337.21	44.6236	337.21
273	338.29	38.2179	338.29
274	339.36	42.1501	339.36
275	340.51	46.8404	340.51
276	341.57	50.3379	341.57
277	342.56	49.7887	342.56
278	343.01	41.2666	343.01
279	342.49	43.8172	342.49
280	340.68	45.6339	340.68
281	338.49	39.8819	338.49
282	336.92	45.4856	336.92
283	337.12	45.9544	337.12
284	338.59	46.1465	338.59
285	339.9	44.6045	339.9
286	340.92	42.8714	340.92
287	341.69	44.2878	341.69
288	342.85	45.4866	342.85
289	343.92	46.727	343.92
290	344.67	41.3884	344.67
291	343.78	46.7833	343.78
292	342.23	44.2407	342.23
293	340.11	39.8932	340.11
294	338.32	40.6893	338.32
295	338.39	42.0371	338.39
296	339.48	43.2628	339.48
297	340.88	42.5858	340.88
298	341.64	43.8728	341.64
299	342.87	46.002	342.87
300	343.59	44.9548	343.59
301	345.25	40.5723	345.25
302	345.96	37.4265	345.96
303	345.52	40.8556	345.52
304	344.15	44.6236	344.15
305	342.25	43.9437	342.25
306	340.17	37.78	340.17
307	340.3	46.7262	340.3
308	341.53	38.4796	341.53
309	343.07	40.7092	343.07
310	344.05	41.6167	344.05
311	344.77	43.2177	344.77
312	345.46	45.0442	345.46
313	346.77	50.7882	346.77
314	347.55	46.644	347.55
315	346.98	46.9958	346.98
316	345.55	43.1673	345.55
317	343.2	39.7404	343.2
318	341.35	46.4791	341.35
319	341.68	39.7766	341.68
320	343.06	41.9928	343.06
321	344.54	39.9076	344.54
322	345.25	44.9533	345.25
323	346.06	49.3097	346.06
324	347.66	50.3545	347.66
325	348.2	41.5528	348.2
326	348.92	43.441	348.92
327	348.4	45.6119	348.4
328	346.66	39.3953	346.66
329	344.85	38.8804	344.85
