 -3.3419   1.0400
 -3.3158   1.0400
 -3.2896   1.0400
 -3.2634   1.0400
 -3.2371   1.0399
 -3.2109   1.0399
 -3.1847   1.0399
 -3.1584   1.0399
 -3.1321   1.0399
 -3.1057   1.0399
 -3.0794   1.0398
 -3.0530   1.0398
 -3.0266   1.0398
 -3.0002   1.0398
 -2.9738   1.0398
 -2.9473   1.0397
 -2.9208   1.0397
 -2.8943   1.0397
 -2.8678   1.0396
 -2.8412   1.0396
 -2.8146   1.0396
 -2.7880   1.0395
 -2.7613   1.0395
 -2.7346   1.0395
 -2.7079   1.0394
 -2.6812   1.0394
 -2.6544   1.0393
 -2.6275   1.0393
 -2.6007   1.0392
 -2.5738   1.0392
 -2.5469   1.0391
 -2.5199   1.0391
 -2.4929   1.0390
 -2.4658   1.0389
 -2.4387   1.0388
 -2.4116   1.0388
 -2.3844   1.0387
 -2.3572   1.0386
 -2.3299   1.0385
 -2.3026   1.0384
 -2.2752   1.0382
 -2.2478   1.0381
 -2.2203   1.0380
 -2.1928   1.0378
 -2.1652   1.0377
 -2.1375   1.0375
 -2.1098   1.0373
 -2.0821   1.0371
 -2.0542   1.0369
 -2.0263   1.0367
 -1.9984   1.0365
 -1.9703   1.0362
 -1.9422   1.0359
 -1.9140   1.0356
 -1.8858   1.0353
 -1.8574   1.0349
 -1.8290   1.0345
 -1.8005   1.0341
 -1.7719   1.0336
 -1.7432   1.0331
 -1.7145   1.0325
 -1.6856   1.0319
 -1.6567   1.0312
 -1.6277   1.0305
 -1.5985   1.0297
 -1.5693   1.0289
 -1.5400   1.0279
 -1.5106   1.0269
 -1.4811   1.0257
 -1.4515   1.0245
 -1.4218   1.0231
 -1.3920   1.0216
 -1.3621   1.0200
 -1.3321   1.0182
 -1.3021   1.0162
 -1.2720   1.0140
 -1.2418   1.0116
 -1.2116   1.0090
 -1.1814   1.0062
 -1.1511   1.0031
 -1.1208   0.9997
 -1.0904   0.9960
 -1.0601   0.9920
 -1.0299   0.9877
 -0.9996   0.9829
 -0.9695   0.9778
 -0.9394   0.9723
 -0.9094   0.9664
 -0.8795   0.9601
 -0.8497   0.9533
 -0.8200   0.9462
 -0.7905   0.9386
 -0.7610   0.9306
 -0.7316   0.9222
 -0.7022   0.9135
 -0.6726   0.9045
 -0.6427   0.8954
 -0.6121   0.8864
 -0.5801   0.8779
 -0.5446   0.8710
 -0.4825   0.8785
 -0.4717   0.9126
 -0.4640   0.9444
 -0.4574   0.9753
 -0.4511   1.0057
 -0.4449   1.0357
 -0.4385   1.0655
 -0.4318   1.0951
 -0.4247   1.1246
 -0.4173   1.1540
 -0.4094   1.1833
 -0.4011   1.2124
 -0.3923   1.2415
 -0.3832   1.2705
 -0.3736   1.2993
 -0.3636   1.3281
 -0.3533   1.3567
 -0.3426   1.3852
 -0.3316   1.4135
 -0.3203   1.4417
 -0.3088   1.4698
 -0.2970   1.4977
 -0.2850   1.5254
 -0.2727   1.5530
 -0.2604   1.5804
 -0.2478   1.6077
 -0.2351   1.6349
 -0.2223   1.6619
 -0.2094   1.6887
 -0.1964   1.7154
 -0.1834   1.7420
 -0.1702   1.7684
 -0.1571   1.7947
 -0.1438   1.8209
 -0.1305   1.8469
 -0.1172   1.8728
 -0.1039   1.8986
 -0.0906   1.9243
 -0.0772   1.9499
 -0.0639   1.9754
 -0.0505   2.0007
 -0.0371   2.0260
 -0.0238   2.0512
 -0.0104   2.0763
  0.0030   2.1013
  0.0163   2.1262
  0.0297   2.1510
  0.0430   2.1758
  0.0563   2.2005
  0.0696   2.2251
  0.0829   2.2496
  0.0962   2.2741
  0.1095   2.2985
  0.1227   2.3228
  0.1360   2.3471
  0.1492   2.3713
  0.1624   2.3955
  0.1756   2.4196
  0.1888   2.4437
  0.2019   2.4677
  0.2151   2.4917
  0.2282   2.5156
  0.2413   2.5394
  0.2544   2.5633
  0.2675   2.5870
  0.2806   2.6108
  0.2936   2.6345
  0.3066   2.6581
  0.3197   2.6818
  0.3327   2.7053
  0.3457   2.7289
  0.3587   2.7524
  0.3716   2.7759
  0.3846   2.7993
  0.3975   2.8227
  0.4105   2.8461
  0.4234   2.8695
  0.4363   2.8928
  0.4492   2.9161
  0.4621   2.9394
  0.4750   2.9626
  0.4878   2.9858
  0.5007   3.0090
  0.5135   3.0322
  0.5264   3.0554
  0.5392   3.0785
  0.5520   3.1016
  0.5648   3.1247
  0.5776   3.1477
  0.5904   3.1708
  0.6032   3.1938
  0.6159   3.2168
  0.6287   3.2397
  0.6414   3.2627
  0.6542   3.2856
  0.6669   3.3086
  0.6796   3.3315
  0.6923   3.3544
  0.7050   3.3772
  0.7177   3.4001

