1.045	4.08714
1.135	4.04376
1.225	3.99896
1.315	3.95265
1.405	3.9073
1.495	3.86576
1.585	3.82465
1.675	3.7876
1.765	3.75312
1.855	3.72189
1.945	3.7214
2.035	3.68958
2.125	3.66134
2.215	3.63488
2.305	3.60927
2.395	3.58501
2.485	3.55907
2.575	3.53364
2.665	3.50893
2.755	3.4853
2.845	3.4853
2.935	3.43616
3.025	3.38614
3.115	3.30146
3.205	3.22194
3.295	3.13704
3.385	3.05269
3.475	2.96237
3.565	2.86451
3.655	2.77159
3.745	2.77159
3.835	2.68305
3.925	2.59329
4.015	2.48855
4.105	2.37107
4.195	2.21748
4.285	2.07918
4.375	1.94448
4.465	1.83885
4.555	1.6902
4.645	1.6902
4.735	1.51851
4.825	1.44716
4.915	1.39794
5.005	1.25527
5.095	1.17609
5.185	1.11394
5.275	1.07918
5.365	1.04139
5.455	0.69897
5.545	0.69897
5.635	0.477121
5.725	0.477121
5.815	0.477121
5.905	0.30103
5.995	0.30103
6.085	0.30103
6.175	0.30103
6.265	0.30103
6.355	0
6.445	0
6.535	0
6.625	0
6.715	0
6.805	0
6.895	0
6.985	0
7.075	0
7.165	0
